 ,address,city,floor,id,latitude,longitude,price,rooms,sq,year
0,Podg鏎ze Zab這cie Stanis豉wa Klimeckiego,Krakow,2,23918,50.0492242,19.9703793,749000,3,74.05,2021
1,Praga-Po逝dnie Grochowska,Warszawa,3,17828,52.2497745,21.1068857,240548,1,24.38,2021
2,Krowodrza Czarnowiejska,Krakow,2,22784,50.0669642,19.9200249,427000,2,37,1970
3,Grunwald,Poznan,2,4315,52.404212,16.882542,1290000,5,166,1935
4,Ochota Gotowy budynek. Stan deweloperski. Ostatnie mieszkanie. ,Warszawa,1,11770,52.212225,20.9726299,996000,5,105,2020
5,Nowa Huta Czy篡ny ul. Woic闚,Krakow,2,26071,50.0469432,19.99715344,414600,1,34.55,2022
6,Podg鏎ze P豉sz闚 Koszykarska,Krakow,0,22569,50.0498929,19.9906026,750000,4,81.4,2021
7,Mokot闚 Pory,Warszawa,10,13308,52.1840585,21.044302,2890000,6,280,2003
8,Ursyn闚 Wy篡ny,Warszawa,3,11387,52.1402821,21.0563452,615000,4,63.4,1982
9,Bemowo,Warszawa,1,10904,52.2389738,20.9132881,429000,1,40,1999
10,鏚mieie,Warszawa,0,16251,52.2328098,21.019067,375000,1,29,1968
11,Praga-Po逝dnie Goc豉w,Warszawa,2,13355,52.2286331,21.1065722,520000,3,67,1989
12,Bia這喚ka,Warszawa,0,15740,52.3196649,21.0211773,400000,3,57,2020
13,Nowe Miasto Malta Florentyny Luboi雟kiej 5,Poznan,0,6081,52.3916079,16.99406261,421427,3,60.29,2019
14,Wola,Warszawa,0,12035,52.2362379,20.9547815,591771.83,2,52.27,2021
15,Grunwald ierzawska,Poznan,8,1085,52.4006632,16.91973259,547000,4,77.39,2020
16,Bia這喚ka,Warszawa,2,10118,52.3196649,21.0211773,489000,2,52,2005
17,Grunwald G鏎czyn ul. Ceglana,Poznan,1,3518,52.3709933,16.8631459,618636,3,66.52,2020
18,Krowodrza Stanis豉wa Konarskiego,Krakow,2,27706,50.0840413,19.97816047,280000,1,16.2,1930
19,Praga-Po逝dnie,Warszawa,1,9813,52.2373961,21.0712578,393800,1,35.8,2021
20,Ursyn闚 ul. Nowoursynowska,Warszawa,0,10053,52.16658235,21.04068566,869000,3,67.4,2008
21,Ochota Stara Ochota,Warszawa,3,12716,52.21691,20.97827,950000,3,72,1960
22,Nowe Miasto Malta ul. Katowicka,Poznan,3,5789,52.3973449,16.9619394,563905,4,77.78,2022
23,Bemowo ul. ks. Juliana Chroickiego,Warszawa,4,9002,52.2319581,21.0067249,670000,3,65.1,2013
24,Stare Miasto Wilczak Wilczak 16 A,Poznan,1,6235,52.4300916,16.95147258,442700,3,58.25,2020
25,Je篡ce,Poznan,4,4837,52.413045,16.9022122,496369,2,41.57,2020
26,Pr鉅nik Czerwony ul. iczna,Krakow,1,20324,50.0469432,19.99715344,756707.4,4,82.43,2021
27,Stare Miasto,Krakow,0,25697,50.0590398,19.9371683,949000,2,84.8,1936
28,鏚mieie Mokotowska,Warszawa,2,7519,52.2215263,21.0185237,2256000,3,94,1890
29,Pr鉅nik Bia造 Henryka Pacho雟kiego,Krakow,6,22385,50.0949773,19.92040549,405900,2,41,2022
30,D瑿niki Ruczaj prof. Micha豉 Bobrzy雟kiego,Krakow,4,30144,50.0206269,19.8981903,699000,2,60,2010
31,Grunwald Jeleniog鏎ska 1/3,Poznan,0,5569,52.404212,16.882542,456711,3,66.19,2021
32,鏚mieie Grzybowska,Warszawa,10,7807,52.2357458,20.9937207,440000,2,39,1972
33,Podg鏎ze Zab這cie,Krakow,3,27693,50.0478769,19.96136869,530000,1,31,2016
34,Podg鏎ze Rzemienicza,Krakow,2,28526,50.0469432,19.99715344,529000,3,53.84,2021
35,Je篡ce ul. . Wawrzy鎍a 11,Poznan,5,5073,52.4201252,16.8956979,360916,2,39.23,2022
36,Praga-P馧noc Z鉉kowska,Warszawa,1,13408,52.2548127,21.0478273,840000,2,47,2019
37,鏚mieie ul. Mokotowska,Warszawa,2,9207,52.2215263,21.0185237,1699000,2,65.55,2009
38,Stare Miasto Piasek υbzowska,Krakow,1,20681,50.0713737,19.9280904,620000,2,43,1990
39,Wola K這pot,Warszawa,1,9194,52.2572165,20.9777793,865000,2,51.59,2020
40,Praga-Po逝dnie Ml鉅zka,Warszawa,4,15720,52.2319581,21.0067249,670000,2,50,2018
41,Podg鏎ze Duchackie Kurdwan闚 por. Halszki,Krakow,0,18497,50.00581295,19.94770944,159000,2,49,2000
42,Zwierzyniec Wola Justowska Jesionowa,Krakow,0,29381,50.067974,19.8748544,899000,3,74.44,2020
43,Stare Miasto pl. Na Groblach,Krakow,0,26869,50.0561004,19.9320048,595000,1,31.24,2019
44,Stare Miasto Naramowice ul. Czarnucha,Poznan,1,2011,52.4499763,16.9527562,507830.4,3,75.57,2020
45,Wola,Warszawa,1,6596,52.2362379,20.9547815,530000,1,37,2003
46,Podg鏎ze Duchackie ul. Walerego S豉wka,Krakow,6,24758,50.0242313,19.959569,539000,3,57.81,2021
47,Mokot闚,Warszawa,0,10527,52.1939874,21.0457809,458000,2,44,1974
48,Ochota Gr鎩ecka,Warszawa,4,12808,52.211874,20.977725,319000,1,23,1960
49,Nowe Miasto Malta ul. Katowicka,Poznan,0,4954,52.3973449,16.9619394,430695,3,50.67,2022
50,Grzeg鏎zki ul. Fabryczna,Krakow,8,28842,50.058444,19.9702351,971904,3,75.93,2021
51,Wzg鏎za Krzes豉wickie ul.Gustawa Morcinka,Krakow,0,26701,50.1047809,20.0362743,270648,2,37.59,2022
52,D瑿niki Kliny-Zacisze bpa Albina Ma造siaka,Krakow,1,23510,49.9988318,19.8938784,266500,1,31.59,2020
53,Wola Juliana Konstantego Ordona,Warszawa,1,14803,52.2247928,20.9525803,517329,2,45.24,2021
54,Bia這喚ka,Warszawa,1,15658,52.3196649,21.0211773,430336,1,33.62,2019
55,Nowa Huta Czy篡ny,Krakow,6,26149,50.0816349,20.01649071,498000,2,49.08,2019
56,Krowodrza,Krakow,10,23192,50.07087985,19.91656312,455000,3,45,1976
57,Je篡ce ul. . Wawrzy鎍a 11,Poznan,0,5090,52.4201252,16.8956979,474128.2,3,62.14,2022
58,Wola Mir闚 Jaktorowska,Warszawa,4,11641,52.2342783,20.978731,420000,1,26.8,2017
59,Praga-Po逝dnie Goc豉w,Warszawa,3,9610,52.2286331,21.1065722,486540,2,44.94,2022
60,Bronowice ul. Bronowicka 5,Krakow,4,28296,50.0778251,19.90068099,1038636,3,88.02,2021
61,Grzeg鏎zki ul. Fabryczna,Krakow,5,28954,50.058444,19.9702351,533455,1,36.79,2021
62,Bie瘸n闚-Prokocim Z這cieniowa,Krakow,0,19457,50.0181408,20.0508626,382301,2,52.37,2020
63,Nowe Miasto Malta ul. Katowicka,Poznan,2,5745,52.3973449,16.9619394,417112.5,2,47.67,2022
64,Pr鉅nik Czerwony ul. Celarowska,Krakow,2,20837,50.081864,19.9546492,349000,2,37.06,1980
65,Stare Miasto Centrum ul. Ostr闚 Tumski,Poznan,3,77,52.4113371,16.9476211,445000,2,39.06,2021
66,Nowe Miasto Malta abpa Walentego Dymka,Poznan,2,4250,52.3938613,16.9910647,461004,3,60.4,2020
67,Praga-Po逝dnie Saska K瘼a,Warszawa,3,12598,52.23280325,21.05466008,670000,2,38,1938
68,Stare Miasto Starowina,Krakow,3,25004,50.0469432,19.99715344,709000,2,53.4,1926
69,Nowe Miasto Kobyle Pole ul. abp. Walentego Dymka,Poznan,3,3733,52.4006632,16.91973259,468300,3,66.9,2022
70,Grzeg鏎zki D鉉ie D鉉ska,Krakow,0,20454,50.064613,19.9820189,730000,3,73.81,2013
71,Podg鏎ze Ok鏊na,Krakow,4,21240,50.0164142,19.9837781,439000,3,48.2,1980
